CH1,CH2,CH27,CH28
-37.49141334,-9.980770279,24.38630233,4.305291198
-41.38210738,-11.07253404,16.14303943,3.972458825
-44.39163987,-19.05966287,7.678531555,4.87761335
-49.51822112,-18.37565111,20.98848173,7.246384312
-33.83674954,-15.32393869,26.96134042,5.724527125
-32.86804839,-10.25239506,26.78716273,7.096130411
-26.54194696,-10.93740638,20.61534722,6.131819771
-31.83555081,-9.294958194,14.81267339,6.608150896
-29.27816629,-16.93105254,6.410681969,6.90173331
-36.46916709,-21.74636567,3.461334348,8.007398392
-48.09905775,-15.32255718,-8.217665981,7.181022351
-53.40801859,-21.76818111,2.034782232,9.664744609
-42.19947246,-15.0536688,16.75603211,8.83141335
-33.87542886,-13.89297045,23.43857565,6.73228638
-36.93543219,-4.762247299,34.75241189,2.165249473
-45.52948459,0.382317559,40.16345132,0.370214774
-35.05723558,-17.9353785,47.56733101,-4.913592617
-42.79832196,-14.30563231,52.07367151,-10.53401526
-53.01661175,-4.641875065,53.80548747,-13.20357374
-64.13698649,-6.683223203,61.46716053,-17.57686932
-53.54587519,-2.326760277,89.60373232,-24.21779281
-45.60550434,4.694349387,97.52494042,-27.44055852
-39.5002702,10.40046572,111.3656417,-33.26871866
-37.76868596,13.49656701,113.7430068,-36.26327208
-29.36431298,2.355239608,116.5716743,-39.88538597
-33.34328914,4.581430132,116.8474042,-41.3655361
-35.87460596,6.655671221,119.5603819,-46.19318243
-43.28905821,10.95443005,124.3233942,-46.03835489
-34.2403983,16.37685067,146.1000883,-47.9098433
-28.01425741,30.35156211,156.1988042,-48.17994706
-19.80064897,25.53491891,159.8515687,-46.71924864
-8.457040045,20.27150484,156.8717916,-45.27923818
-14.87376236,23.66543983,158.4967775,-46.43731741
-15.42789454,22.08535894,153.2578418,-43.23612792
-25.89891373,27.85825299,146.1788481,-41.19868303
-23.20662139,19.18523609,143.6850654,-40.46135021
-16.96907233,18.23455916,161.9906755,-38.98992659
-11.49988266,31.39726609,169.0827715,-37.06934833
-13.93057215,41.62253226,165.1093292,-33.28628004
-1.771570436,23.59244387,160.1769428,-29.4186083
-3.589191055,27.89274413,153.5292922,-28.80984229
-6.246320654,18.60855125,144.4133916,-26.13151332
-9.064530173,19.54945281,136.9397061,-25.19342699
-15.61232472,14.75868784,126.6667493,-23.35492637
-26.73297749,14.55556734,119.2598853,-21.04758599
-18.99609277,15.9315699,133.2521175,-19.19614717
-11.13211574,14.5018901,129.6233844,-17.21196562
-15.06128916,19.24196228,127.6983537,-18.30099797
-1.249852183,2.494258004,115.8655869,-15.73995981
-21.84640753,19.37998548,106.9760795,-13.67446999
-16.75719923,8.485592217,95.63121543,-11.93716448
-20.75431728,-0.037645652,81.62766543,-11.61167343
-32.29331076,2.426339423,72.76030628,-9.363215984
-34.42688696,-0.03451434,86.74831385,-8.358637107
-24.46850559,6.361802262,89.3079062,-6.092479554
-12.10147036,0.053809133,85.07237489,-5.587334725
-12.9611375,-1.732871723,77.22197489,-3.50530683
-7.169113637,-9.982176808,70.08462726,-2.432035961
-20.05575595,-1.609962763,58.69538205,-1.206223322
-28.62692975,-2.895580677,51.28880661,-0.839479326
-32.70714736,-8.323309692,39.17846065,-0.337316408
-28.82515078,-24.94299901,46.0621447,0.631301
-25.15006787,-6.985779801,51.33997252,-1.093521875
-16.82642056,-11.44163395,47.55246651,1.212498775
-15.72287701,-12.33362903,43.40978379,1.79717261
-21.24885936,-9.590488394,37.99829126,1.384173338
-30.27647397,-6.321072056,28.25703672,2.057199023
-32.24106489,-10.10214339,19.52782441,3.128368551
-28.96829839,-21.55955026,8.997851887,4.246929911
-40.42748101,-23.99501693,25.81278107,2.118584758
-20.18094701,-22.94527052,26.38159392,4.272273772
-23.82082407,-10.86933427,25.84597376,4.103391201
-12.89954462,-21.78922831,21.93484335,4.167423943
-23.12455496,-11.81208952,19.74529595,2.885670667
-34.33453142,-9.445153637,10.54670552,5.054241864
-29.7664404,-17.70038143,5.312509013,4.548872186
-51.79478821,-2.573099692,-0.553227167,4.302516416
-53.37462897,-11.64346156,14.9834097,5.015212438
-33.50149573,-7.760509166,20.23378845,3.919239608
-21.55945225,-21.52417045,20.63864835,6.521030227
-25.95816621,-7.598913346,15.64339003,5.001260408
-23.29358091,-14.07204057,12.43276014,4.476406387
-32.45666942,-17.03712501,5.738825261,7.217415955
-31.88645302,-18.85184566,0.772843643,6.092493515
-45.36286914,-19.30438849,-6.123344418,7.036812605
-55.11762249,-12.92943765,10.02523457,8.932953842
-36.48030927,-10.73388063,18.27260787,1.973920214
-28.12735146,-6.569148338,26.96214274,-3.985230571
-22.66719418,-9.09935908,31.9148282,-12.47727484
-24.26775466,-0.8947529,39.07088056,-19.02943054
-28.05586743,7.519780883,46.57135518,-23.99301973
-37.30660907,16.4079476,55.10642196,-29.88802901
-39.70983109,10.57675979,65.83465661,-33.47009459
-55.03590071,28.41552523,83.25030198,-35.92754261
-45.73095242,38.01568543,113.7818996,-40.09777322
-32.38426197,34.38279181,129.0189421,-40.43062838
